site,origin_lat,origin_lng,dest_lat,dest_lng,origin_nearest_road,origin_impression,destination_nearest_road,destination_impression
ED31_ED30,14.53826001,121.0078333,14.53918224,121.0141747,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED31_ED32,14.53857577,121.0078914,14.53794779,121.003216,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED32_ED31,14.53767132,121.0032455,14.53826001,121.0078333,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED32_ED33,14.53794779,121.003216,14.53764768,121.00056,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED33_ED32,14.53743219,121.0004889,14.53767132,121.0032455,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED33_ED34,14.53764768,121.00056,14.53782895,120.9957296,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED34_ED33,14.53763032,120.995723,14.53743219,121.0004889,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED34_ED35,14.53782895,120.9957296,14.53714972,120.9922475,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED35_ED34,14.53690536,120.9922677,14.53763032,120.995723,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED35_ED36,14.53714972,120.9922475,14.53636151,120.9887387,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED36_ED35,14.53615543,120.9886981,14.53690536,120.9922677,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
ED36_ED37,14.53636151,120.9887387,14.5354314,120.9848453,R-2 (Taft Avenue),119119,C-4 (EDSA),419952
ED37_ED36,14.53522836,120.9848588,14.53615543,120.9886981,C-4 (EDSA),419952,R-2 (Taft Avenue),119119
EDSA,14.535289884033096,120.98193246783715,14.656839509433068,121.03044889963375,C-4 (EDSA),419952,R-7 (Quezon Avenue),356012
EDSA,14.656839509433068,121.03044889963375,14.535289884033096,120.98193246783715,R-7 (Quezon Avenue),356012,C-4 (EDSA),419952
ES01_ES02,14.61538259,120.99898,14.61441708,120.9978943,R-6 (Aurora Blvd),145563,R-6 (Aurora Blvd),145563
ES02_ES01,14.61433616,120.997994,14.61528438,120.9990703,R-6 (Aurora Blvd),145563,R-6 (Aurora Blvd),145563
ES02_ES03,14.61441708,120.9978943,14.61290024,120.9962399,R-6 (Aurora Blvd),145563,R-6 (Aurora Blvd),145563
ES03_ES02,14.6128386,120.9963385,14.61433616,120.997994,R-6 (Aurora Blvd),145563,R-6 (Aurora Blvd),145563
ES03_ES04,14.61290024,120.9962399,14.61176284,120.9949998,R-6 (Aurora Blvd),145563,R-6 (Aurora Blvd),145563
ES04_ES03,14.61167524,120.9950763,14.6128386,120.9963385,R-6 (Aurora Blvd),145563,R-6 (Aurora Blvd),145563
ES04_ES05,14.61176284,120.9949998,14.60966348,120.9926902,R-6 (Aurora Blvd),145563,R-6 (Aurora Blvd),145563
ES05_ES04,14.60958042,120.9927707,14.61167524,120.9950763,R-6 (Aurora Blvd),145563,R-6 (Aurora Blvd),145563
ES05_ES06,14.60966348,120.9926902,14.60667476,120.9894142,R-6 (Aurora Blvd),145563,C-2,170675
ES06_ES05,14.606593,120.9894813,14.60958042,120.9927707,C-2,170675,R-6 (Aurora Blvd),145563
ES06_ES07,14.60667476,120.9894142,14.60538061,120.9878896,C-2,170675,C-2,170675
ES07_ES06,14.60527289,120.9879231,14.606593,120.9894813,C-2,170675,C-2,170675
GUADALED,14.570325671178152,121.04637969588516,14.570241302851166,121.0463528737955,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED,14.570057639381544,121.04653794621416,14.570407443525822,121.04662176524438,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED,14.570460011447553,121.0464092001838,14.570111505361988,121.04631532286996,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED,14.570367855329549,121.04639243637776,14.570192628801683,121.04633879219844,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED,14.57014525271654,121.0465607449904,14.570322426243116,121.04659829591594,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED,14.570189383864676,121.0465687916173,14.570275050185847,121.04658890818456,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
